label,flex_thumb,flex_index,flex_middle,flex_ring,flex_pinky,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand
N,694.75,817.29,803.29,807.49,786.47,-0.1061,9.4667,0.7521,0.0049,0.005,-0.0403,left
G,487.91,182.34,823.61,803.97,779.72,-5.0564,4.9983,6.1078,-0.0769,-0.078,-0.0143,left
D,498.16,198.37,795.64,788.54,810.55,-0.1459,9.2785,1.5487,-0.0035,-0.0013,-0.0337,left
H,479.83,201.96,196.07,816.68,813.01,5.2272,4.7607,5.5688,0.0347,-0.0554,0.0213,right
A,698.36,786.87,808.85,813.56,788.72,0.0647,9.5987,0.3792,-0.0001,0.0966,0.0155,left
Y,214.83,794.49,801.38,799.72,173.37,-0.2762,8.8173,3.9933,0.0981,-0.0571,0.0566,left
E,600.69,670.74,677.11,691.87,669.15,0.0002,9.8376,0.6288,-0.0745,0.0037,0.02,right
T,631.35,800.24,806.66,806.9,825.39,0.3643,9.8354,0.388,0.0072,0.0866,0.0823,right
J,826.22,816.19,787.54,808.06,216.59,-0.0834,9.5675,0.5306,3.0601,0.4706,2.0874,right
Z,479.02,184.77,790.09,795.35,793.54,-0.5154,8.9999,2.2846,2.4559,1.4558,1.0019,left
C,494.13,511.75,494.36,519.37,495.22,0.3034,8.2631,3.9518,0.0119,0.0194,0.0316,right
V,531.09,196.67,201.68,792.79,783.42,0.2919,8.9866,2.7365,0.0412,-0.0092,0.0735,right
R,484.1,191.36,240.98,802.53,794.21,-0.5394,9.3976,1.8099,-0.0372,-0.0193,0.069,left
N,673.47,798.24,801.29,796.99,807.48,0.3148,9.602,0.9386,0.0345,0.0166,0.0499,right
U,489.01,215.89,206.03,786.18,790.56,-0.1337,9.4664,1.1586,0.0819,-0.0852,-0.0516,left
R,498.57,202.33,254.22,819.66,786.03,-0.1954,9.3498,1.934,0.0131,-0.0636,-0.0259,left
F,381.17,755.73,241.15,220.61,196.97,0.787,8.8649,1.8326,-0.0026,-0.0239,-0.0244,right
P,492.65,214.71,507.32,792.04,813.43,3.2925,5.1914,7.4005,-0.0929,-0.0165,0.0583,right
H,487.72,193.41,214.0,793.46,813.0,5.0357,4.9327,5.5736,0.0798,-0.05,-0.03,right
B,716.54,194.73,230.58,187.15,214.07,0.2765,9.9514,0.5009,0.0503,-0.0009,-0.1174,right
E,606.99,688.75,686.46,672.62,686.48,-0.1076,9.4375,0.9815,-0.0207,-0.0773,-0.0296,right
F,369.75,756.9,176.0,229.82,212.33,-0.494,9.1988,1.6131,-0.0511,0.0314,0.0259,left
K,498.32,217.28,396.8,800.96,796.06,1.0151,9.1609,3.033,-0.1232,0.0943,0.0127,right
B,744.88,209.14,194.61,225.78,210.81,0.1072,9.7314,0.131,0.0149,0.0402,-0.0141,left
C,505.9,503.58,500.31,479.98,471.23,0.5567,8.4675,4.0757,-0.0035,0.0207,-0.0639,right
